LoanEmpCode,LoanParCode,LoanOrgAmt,LoanRepAmt,LoanRemAmt,LoantrDate
308,34,5560,505.45,5560,7/7/2014 0:00
308,35,316,0,0,1/1/1900 0:00
308,36,351,0,0,1/1/1900 0:00
308,49,105,0,0,1/1/1900 0:00
308,100,50,0,0,1/1/1900 0:00
308,101,80,0,0,1/1/1900 0:00
309,27,1173.75,0,0,7/7/2014 0:00
309,33,356,0,0,1/1/1900 0:00
309,34,3129.96,0,0,7/7/2014 0:00
309,36,333.75,0,0,7/7/2014 0:00
323,27,928.12,0,0,7/7/2014 0:00
323,34,13140,0,0,7/7/2014 0:00
323,35,40,0,0,1/1/1900 0:00
323,49,80,0,0,1/1/1900 0:00
323,100,20,0,0,1/1/1900 0:00
323,101,50,0,0,1/1/1900 0:00
325,27,1293.75,0,0,7/7/2014 0:00
325,33,800,0,0,7/7/2014 0:00
325,34,9630,0,0,7/7/2014 0:00
325,35,60,0,0,1/1/1900 0:00
325,36,277.5,0,0,7/7/2014 0:00
325,100,50,0,0,1/1/1900 0:00
328,27,1293.75,0,0,7/7/2014 0:00
328,33,1575,0,0,1/1/1900 0:00
328,34,10500,954.55,10500,7/7/2014 0:00
328,35,388.75,0,0,1/1/1900 0:00
328,36,351,0,0,1/1/1900 0:00
328,49,120,0,0,1/1/1900 0:00
328,100,100,0,0,1/1/1900 0:00
329,27,4927.5,0,0,7/7/2014 0:00
329,34,13140,0,0,7/7/2014 0:00
329,36,333.75,0,0,1/1/1900 0:00
334,27,337.5,0,0,7/7/2014 0:00
334,33,100,0,0,1/1/1900 0:00
334,34,4380,0,0,7/7/2014 0:00
334,35,147.5,0,0,1/1/1900 0:00
334,36,277,0,0,1/1/1900 0:00
334,100,50,0,0,1/1/1900 0:00
335,27,1293.75,0,0,7/7/2014 0:00
335,33,258,0,0,1/1/1900 0:00
335,34,7640,0,0,7/7/2014 0:00
335,35,100,0,0,1/1/1900 0:00
335,36,353.75,0,0,7/7/2014 0:00
335,49,100,0,0,1/1/1900 0:00
337,27,928.12,0,0,7/7/2014 0:00
337,33,322.5,0,0,1/1/1900 0:00
337,34,5560,0,0,7/7/2014 0:00
337,36,313.75,0,0,7/7/2014 0:00
338,27,1293.75,0,0,7/7/2014 0:00
338,34,9210,0,0,7/7/2014 0:00
338,35,40,0,0,1/1/1900 0:00
344,27,586.87,0,0,7/7/2014 0:00
344,33,437.5,0,0,1/1/1900 0:00
344,34,11810,0,0,7/7/2014 0:00
344,35,100,0,0,1/1/1900 0:00
344,36,277.5,0,0,7/7/2014 0:00
344,49,100,0,0,1/1/1900 0:00
344,100,100,0,0,1/1/1900 0:00
346,27,337.5,0,0,7/7/2014 0:00
346,33,437.5,0,0,1/1/1900 0:00
346,34,2130,0,0,7/7/2014 0:00
346,35,40,0,0,1/1/1900 0:00
346,36,353.75,0,0,7/7/2014 0:00
346,49,100,0,0,1/1/1900 0:00
347,27,337.5,0,0,7/7/2014 0:00
347,33,763.64,0,0,1/1/1900 0:00
347,34,1510,0,0,7/7/2014 0:00
347,35,100,0,0,1/1/1900 0:00
348,27,586.87,0,0,7/7/2014 0:00
348,33,100,0,0,1/1/1900 0:00
348,34,10500,954.55,10500,7/7/2014 0:00
348,35,456.05,0,0,1/1/1900 0:00
348,36,512,0,0,1/1/1900 0:00
348,49,105,0,0,1/1/1900 0:00
348,100,100,0,0,1/1/1900 0:00
350,27,586.87,0,0,7/7/2014 0:00
350,33,100,0,0,1/1/1900 0:00
350,34,11024,0,0,7/7/2014 0:00
350,35,20,0,0,1/1/1900 0:00
350,36,277.5,0,0,7/7/2014 0:00
350,49,105,0,0,1/1/1900 0:00
350,100,120,0,0,1/1/1900 0:00
351,27,586.87,0,0,7/7/2014 0:00
351,33,600,0,0,1/1/1900 0:00
351,34,5560,505.45,5560,7/7/2014 0:00
351,35,376,0,0,1/1/1900 0:00
351,49,120,0,0,1/1/1900 0:00
351,100,150,0,0,1/1/1900 0:00
352,27,1479.37,0,0,7/7/2014 0:00
352,33,100,0,0,1/1/1900 0:00
352,34,18530,0,0,7/7/2014 0:00
352,35,295,0,0,1/1/1900 0:00
352,36,351,0,0,1/1/1900 0:00
352,49,120,0,0,1/1/1900 0:00
352,100,100,0,0,1/1/1900 0:00
358,27,1479.37,0,0,7/7/2014 0:00
358,34,12400,1127.27,12400,7/7/2014 0:00
358,35,70,0,0,1/1/1900 0:00
358,49,50,0,0,1/1/1900 0:00
358,100,100,0,0,1/1/1900 0:00
358,101,50,0,0,1/1/1900 0:00
360,27,1164.37,0,0,7/7/2014 0:00
360,33,100,0,0,1/1/1900 0:00
360,34,15590,0,0,7/7/2014 0:00
360,35,285,0,0,1/1/1900 0:00
360,36,351,0,0,7/7/2014 0:00
360,49,120,0,0,1/1/1900 0:00
360,100,150,0,0,1/1/1900 0:00
360,101,100,0,0,1/1/1900 0:00
361,27,1293.75,0,0,7/7/2014 0:00
361,33,445,0,0,1/1/1900 0:00
361,34,6900,0,0,7/7/2014 0:00
365,27,1164.37,0,0,7/7/2014 0:00
365,33,5475,0,0,1/1/1900 0:00
365,34,10950,995.45,10950,7/7/2014 0:00
365,35,1216.25,0,0,1/1/1900 0:00
365,36,351,0,0,7/7/2014 0:00
365,49,120,0,0,1/1/1900 0:00
365,100,50,0,0,1/1/1900 0:00
365,101,100,0,0,1/1/1900 0:00
372,27,4451.25,0,0,7/7/2014 0:00
372,33,437.5,0,0,1/1/1900 0:00
372,34,14530,0,0,7/7/2014 0:00
372,36,341.25,0,0,7/7/2014 0:00
391,27,1293.75,0,0,7/7/2014 0:00
391,33,100,0,0,1/1/1900 0:00
391,34,10500,954.55,10500,7/7/2014 0:00
391,35,1203.5,0,0,1/1/1900 0:00
391,36,351,0,0,1/1/1900 0:00
391,49,120,0,0,1/1/1900 0:00
391,100,100,0,0,1/1/1900 0:00
393,27,928.12,0,0,7/7/2014 0:00
393,34,6210,0,0,7/7/2014 0:00
393,36,341.25,0,0,7/7/2014 0:00
395,27,770.62,0,0,7/7/2014 0:00
395,33,492.18,0,0,7/7/2014 0:00
395,34,4110,0,0,7/7/2014 0:00
395,36,333.75,0,0,1/1/1900 0:00
398,27,586.87,0,0,7/7/2014 0:00
398,33,356,0,0,1/1/1900 0:00
398,34,3129.96,0,0,7/7/2014 0:00
398,36,333.75,0,0,7/7/2014 0:00
402,27,1293.75,0,0,7/7/2014 0:00
402,33,210,0,0,1/1/1900 0:00
402,34,10190,0,0,7/7/2014 0:00
402,35,100,0,0,1/1/1900 0:00
402,36,313.75,0,0,7/7/2014 0:00
402,100,100,0,0,1/1/1900 0:00
405,27,1432.5,0,0,7/7/2014 0:00
405,33,348,0,0,1/1/1900 0:00
405,34,12474,1134,12474,7/7/2014 0:00
405,35,376,0,0,1/1/1900 0:00
405,36,261.25,0,0,7/7/2014 0:00
405,49,120,0,0,1/1/1900 0:00
405,100,100,0,0,1/1/1900 0:00
408,27,283.12,0,0,7/7/2014 0:00
408,33,100,0,0,1/1/1900 0:00
408,34,3600,327.27,3600,7/7/2014 0:00
408,35,316,0,0,1/1/1900 0:00
408,36,351,0,0,1/1/1900 0:00
408,49,105,0,0,1/1/1900 0:00
408,100,60,0,0,1/1/1900 0:00
412,27,879.98,0,0,7/7/2014 0:00
412,33,100,0,0,1/1/1900 0:00
412,34,5560,505.45,5560,1/1/1900 0:00
412,35,951.25,0,0,1/1/1900 0:00
412,36,351,0,0,1/1/1900 0:00
412,49,50,0,0,1/1/1900 0:00
412,100,50,0,0,1/1/1900 0:00
413,27,2225.62,0,0,7/7/2014 0:00
413,33,6570,0,0,1/1/1900 0:00
413,34,14530,0,0,7/7/2014 0:00
413,35,100,0,0,1/1/1900 0:00
416,27,586.87,0,0,7/7/2014 0:00
416,33,64.5,0,0,1/1/1900 0:00
416,34,3600,0,0,7/7/2014 0:00
416,35,40,0,0,1/1/1900 0:00
417,27,928.12,0,0,7/7/2014 0:00
417,33,100,0,0,1/1/1900 0:00
417,34,8400,0,0,7/7/2014 0:00
417,35,1552.5,0,0,1/1/1900 0:00
417,36,292.5,0,0,7/7/2014 0:00
417,49,105,0,0,1/1/1900 0:00
417,100,50,0,0,1/1/1900 0:00
418,27,928.12,0,0,7/7/2014 0:00
